,retentate_flow,permeate_flow,retentate_O2,permeate_O2,stage_cut,stage,membrane,configuration,rpm,feed_flow,p_out_psia
2057,6052.34571819073,3113.129315786358,0.07980435102626905,0.24973828096376485,0.33965826149171263,2,O,OONO,3500,12800,124.56779999999999
2058,4594.158399384187,1458.1873188057955,0.049478266999467904,0.17534957477584245,0.2409292837359102,3,N,OONO,3500,12800,124.56779999999999
2059,1964.1032432812608,2630.055156104394,0.02050166398198644,0.0711177522716338,0.5724781183985588,4,O,OONO,3500,12800,124.56779999999999
2060,9278.500918197467,3621.499081802531,0.13820165086662584,0.39038967665122026,0.28073636293042875,1,O,OONO,3500,12900,124.02390000000001
2061,6172.827449804949,3105.67346848391,0.08083174460671866,0.25222988458993545,0.334717159147218,2,O,OONO,3500,12900,124.02390000000001
2062,4716.976782694608,1455.8506671092257,0.05061099293939577,0.17874740806217373,0.2358482687144006,3,N,OONO,3500,12900,124.02390000000001
2063,2093.510461721977,2623.4663209726523,0.02137693674883547,0.07393959524497329,0.5561753728781292,4,O,OONO,3500,12900,124.02390000000001
2064,9391.632385002269,3608.367579638305,0.13887525136684672,0.3915163337836385,0.27756673689525424,1,O,OONO,3500,13000,123.48
2065,6293.516338367989,3098.1160466899314,0.08185751484385098,0.25470113155025326,0.3298804637665961,2,O,OONO,3500,13000,123.48
2066,4840.043089663314,1453.4732487046174,0.05174613467738796,0.18212793786013695,0.23094771993259441,3,N,OONO,3500,13000,123.48
2067,2223.1322644092875,2616.91082525416,0.022266012435628178,0.07679024786667667,0.5406792412329947,4,O,OONO,3500,13000,123.48
2068,9508.451801526891,3591.548173772003,0.1396120825846876,0.3927012225969696,0.27416398273068726,1,O,OONO,3500,13100,122.8185
2069,6420.677565103157,3087.774236479858,0.08298398573108387,0.2573638040129884,0.3247399577693621,2,O,OONO,3500,13100,122.8185
2070,4970.769720474148,1449.9078410054803,0.05299611927803584,0.1857927242271792,0.22581851000988332,3,N,OONO,3500,13100,122.8185
2071,2362.6115889844705,2608.1581315270255,0.02325690714075371,0.07993551387740712,0.5246990462632496,4,O,OONO,3500,13100,122.8185
2072,9625.394489346141,3574.605494323888,0.1403448694022846,0.3938687369921982,0.27080344653968846,1,O,OONO,3500,13200,122.157
2073,6548.087852475445,3077.3066369160306,0.08410994619982677,0.2600050955573434,0.3197070665853898,2,O,OONO,3500,13200,122.157
2074,5101.78687132116,1446.3009808238096,0.05425032152494847,0.1894390409943887,0.22087378993808834,3,N,OONO,3500,13200,122.157
2075,2502.348971793285,2599.4378995363536,0.024265208884938477,0.08311549077226744,0.5095151885212332,4,O,OONO,3500,13200,122.157
2076,9742.459504308677,3557.54048556518,0.14107362887630304,0.3950189590697342,0.2674842470349759,1,O,OONO,3500,13300,121.4955
2077,6675.747071648336,3066.712432684798,0.08523529522435325,0.26262483269805553,0.3147780528447176,2,O,OONO,3500,13300,121.4955
2078,5233.1097322582245,1442.6373393901063,0.055508720715642834,0.19306726526992424,0.21610125786774287,3,N,OONO,3500,13300,121.4955
2079,2642.365482866907,2590.744249393883,0.025290730417586227,0.0863288120636787,0.49506782428502766,4,O,OONO,3500,13300,121.4955
2080,9859.645900396115,3540.3540938099504,0.14179837793719222,0.3961519671324368,0.26420552938880226,1,O,OONO,3500,13400,120.834
2081,6803.65508533871,3055.9908150629485,0.0863599335008322,0.26522284982483474,0.30994934766776694,2,O,OONO,3500,13400,120.834
2082,5364.73685837873,1438.9182269597825,0.056771069685856206,0.19667646527424656,0.21149194203870317,3,N,OONO,3500,13400,120.834
2083,2782.6639305681815,2582.072927810622,0.026333136988112144,0.08957360462496995,0.4813046745765172,4,O,OONO,3500,13400,120.834
2084,9976.952749499276,3523.0472474771636,0.14251913348175424,0.39726783664571996,0.2609664627760862,1,O,OONO,3500,13500,120.1725
2085,6931.811754165138,3045.140995340462,0.08748376352801687,0.2677989888584104,0.30521754204892787,2,O,OONO,3500,13500,120.1725
2086,5496.668609478918,1435.143144685881,0.0580371262455637,0.20026582809153926,0.20703723580253638,3,N,OONO,3500,13500,120.1725
2087,2923.249309824735,2573.419299654274,0.027392096825842704,0.09284803370712709,0.4681779969810173,4,O,OONO,3500,13500,120.1725
