,configuration,rpm,feed_flow,p_ratio,p_out_psia,O2_product_flow,O2_product_O2,N2_product_flow,N2_product_O2,theta_1,theta_2,theta_3,theta_4,min_stage_cut,max_stage_cut,O2_flow_met,O2_purity_met,N2_flow_met,N2_purity_met,product_specs_met,stage_cuts_valid,stage_cut_penalty,ideal_power_kW
38,NOOO,2500,11800,6.58,96.726,1517.4051569090316,0.46163858805759506,3409.6457301862015,0.042893500926468486,0.12859365736517217,0.24640815714088815,0.2924197410510662,0.37813711612664197,0.12859365736517217,0.37813711612664197,False,True,False,True,False,False,0.07140634263482784,54.283190176713155
39,NOOO,2500,11900,6.54,96.13799999999999,1507.5261099876375,0.4621200323295854,3548.116946353187,0.04434034756065993,0.12668286638551576,0.24261410200509845,0.28676837400983,0.36797948280324594,0.12668286638551576,0.36797948280324594,False,True,False,True,False,False,0.07331713361448425,54.514299577344126
40,NOOO,2500,12000,6.5,95.55,1497.5899807038465,0.46258015505418726,3686.9712106509364,0.04580014575368058,0.12479916505865388,0.23888381735508285,0.2812668723536686,0.35825549483639213,0.12479916505865388,0.35825549483639213,False,True,False,True,False,False,0.07520083494134613,54.740550927051146
41,NOOO,2500,12100,6.45,94.815,1484.8505119474146,0.4630079665554625,3838.969174584521,0.047472179611653204,0.12271491834276153,0.23478033238032,0.27528534508378066,0.34786825217861167,0.12271491834276153,0.34786825217861167,False,True,False,True,False,False,0.07728508165723848,54.90304248247798
42,NOOO,2500,12200,6.4,94.08,1472.0416850500937,0.4634090129371794,3991.46735287996,0.04916329257999676,0.12065915451230276,0.230743837577324,0.26946285281615917,0.3379325810549827,0.12065915451230276,0.3379325810549827,False,True,False,True,False,False,0.07934084548769725,55.059035685335964
43,NOOO,2500,12300,6.35,93.34499999999998,1459.1647989387204,0.46378329137555635,4144.473927550499,0.050872838433525136,0.11863128446656264,0.2267724021135864,0.26379216380364134,0.3284182456458259,0.11863128446656264,0.3284182456458259,False,True,False,False,False,False,0.08136871553343737,55.20846784312089
44,NOOO,2500,12400,6.3,92.61,1446.2211424476436,0.46413078511349887,4297.995070087438,0.052600133265109185,0.1166307372941648,0.22286417544124637,0.25826689950523846,0.31929748429385674,0.1166307372941648,0.31929748429385674,False,True,False,False,False,False,0.08336926270583521,55.351275058296125
45,NOOO,2500,12500,6.25,91.875,1433.211994611141,0.4644514633694198,4452.034914972338,0.05434452898988466,0.11465695956889128,0.2190173822726359,0.252880502043057,0.3105456217656478,0.11465695956889128,0.3105456217656478,False,True,False,False,False,False,0.08534304043110873,55.48739219455984
46,NOOO,2500,12600,6.2,91.14,1420.1386250334726,0.4647452812221056,4606.60342060581,0.05610537167318447,0.11270941468519624,0.21523031771009885,0.2476270525845261,0.30213885196916573,0.11270941468519624,0.30213885196916573,False,True,False,False,False,False,0.08729058531480377,55.61675284187806
47,NOOO,2500,12700,6.15,90.405,1407.0022940754109,0.4650121794883319,4761.706095556728,0.0578819990541074,0.11078758221066227,0.21150134972657333,0.24250094617311505,0.2940559222966184,0.11078758221066227,0.2940559222966184,False,True,False,False,False,False,0.08921241778933774,55.739289280226714
48,NOOO,2500,12800,6.1,89.66999999999999,1393.8042530632645,0.46525208458291517,4917.348684637417,0.059673750506927956,0.10889095727056754,0.20782890573724375,0.23749688411385328,0.2862771967244658,0.10889095727056754,0.2862771967244658,False,True,False,False,False,False,0.09110904272943247,55.85493244198457
49,NOOO,2500,12900,6.05,88.93499999999999,1380.545744413205,0.46546490835969334,5073.536744926593,0.06147996614820922,0.10701904995451202,0.20421148406128642,0.23260985680417487,0.2787845461168378,0.10701904995451202,0.2787845461168378,False,True,False,False,False,False,0.092980950045488,55.96361187291493
50,NOOO,2500,13000,6.0,88.19999999999999,1367.2280018003962,0.46565054794159116,5230.275680121716,0.06329998785005614,0.10517138475387663,0.20064763567589017,0.22783512494024394,0.27156121535493877,0.10517138475387663,0.27156121535493877,False,True,False,False,False,False,0.09482861524612338,56.065255691670124
